milestone_id,title,category,project_year,due_date,owner,status,related_output,note,due_rule
MS-061,PIU(사업실무단) 2030년 1분기 [일자 협의],회의,5,2030-03-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-021,발전계획 확산 워크숍 (f.37) · AI 데이터 활용 워크숍 (3/3) (f.14~15),공정,5,2030-06-30,PM,예정,3.2,,5차년도 2분기
MS-062,PIU(사업실무단) 2030년 2분기 [일자 협의],회의,5,2030-06-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-038,상반기 반기 보고서(2030년),보고,5,2030-07-15,PM,예정,,지표별 raw data 제출 필수,
MS-063,PIU(사업실무단) 2030년 3분기 [일자 협의],회의,5,2030-09-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-039,연간 회계정산보고서(2030년),보고,5,2030-10-31,PAO,예정,,,
MS-060,PSC(사업운영위원회) 2030년 [일자 협의],회의,5,2030-12-15,PM,예정,,"RFP 본문은 연 1회, 관리문서 표는 반기별로 기재 [확인필요]. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-022,"[PDM] 운영관리 교육 250명 · 강사 80명 · HCPN 교육 1,360명 누적 달성 시점",성과관리,5,2030-12-31,성과관리 전문가,예정,"2.1, 2.2","지표 2.1-2, 2.1-3, 2.2-2",
MS-064,PIU(사업실무단) 2030년 4분기 [일자 협의],회의,5,2030-12-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-040,연차 보고서(2030년) + 하반기 반기 보고서,보고,6,2031-01-15,PM,예정,,지표별 raw data 제출 필수,
MS-066,PIU(사업실무단) 2031년 1분기 [일자 협의],회의,6,2031-03-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-067,PIU(사업실무단) 2031년 2분기 [일자 협의],회의,6,2031-06-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-041,상반기 반기 보고서(2031년),보고,6,2031-07-15,PM,예정,,지표별 raw data 제출 필수,
MS-068,PIU(사업실무단) 2031년 3분기 [일자 협의],회의,6,2031-09-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-042,연간 회계정산보고서(2031년),보고,6,2031-10-31,PAO,예정,,,
MS-065,PSC(사업운영위원회) 2031년 [일자 협의],회의,6,2031-12-15,PM,예정,,"RFP 본문은 연 1회, 관리문서 표는 반기별로 기재 [확인필요]. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-069,PIU(사업실무단) 2031년 4분기 [일자 협의],회의,6,2031-12-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-043,연차 보고서(2031년) + 하반기 반기 보고서,보고,7,2032-01-15,PM,예정,,지표별 raw data 제출 필수,
MS-023,현장 종료보고회 개최 계획서,보고,7,2032-01-31,PM,예정,,,2032년 1월 31일 이전
MS-071,PIU(사업실무단) 2032년 1분기 [일자 협의],회의,7,2032-03-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-024,종료선조사 (7차년도),성과관리,7,2032-06-30,성과관리 전문가,예정,,일자는 계획 수립 시 확정,
MS-072,PIU(사업실무단) 2032년 2분기 [일자 협의],회의,7,2032-06-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-044,상반기 반기 보고서(2032년),보고,7,2032-07-15,PM,예정,,지표별 raw data 제출 필수,
MS-073,PIU(사업실무단) 2032년 3분기 [일자 협의],회의,7,2032-09-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-025,최종보고서 · 최종 회계정산보고서 · 사후관리계획서 · 종료보고회 결과보고,보고,7,2032-10-31,PM,예정,,,2032년 10월 31일 이전
MS-070,PSC(사업운영위원회) 2032년 [일자 협의],회의,7,2032-12-15,PM,예정,,"RFP 본문은 연 1회, 관리문서 표는 반기별로 기재 [확인필요]. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-026,사업 최종보고회 · 종료평가 (RFP 일정표: 2032년 4분기),보고,7,2032-12-31,PM,예정,,,7차년도 4분기
MS-027,용역 종료,공정,7,2032-12-31,PM,예정,,,
MS-074,PIU(사업실무단) 2032년 4분기 [일자 협의],회의,7,2032-12-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
