sub_output_id,output_id,series,name,due_date,language,owner,status,approval_method,quality_criteria,submitted_at,doc_id,due_rule
f.4,3.2,f,"시스템 H/W 지원 기자재 리스트(세부사양, 예산 포함)",,국/영문,통계시스템 H/W 전문가(안),미착수,,,,,수요조사 실시 후 1개월 이내
f.5,3.2,f,기자재 공급 수행기관 조달 계획서(IT H/W 부문) 검토보고서,,국/영문,통계시스템 H/W 전문가(안),미착수,,,,,계획서 접수 후 2주 이내
f.6,3.2,f,IT H/W 및 네트워크 설비 설치 및 검수 결과보고서,,국/영문,통계시스템 H/W 전문가(안),미착수,,,,,설치 완료 후 1개월 이내
f.7,3.2,f,IT H/W 운영관리 교육 모니터링 및 유지보수 모니터링 보고서,,국/영문,통계시스템 H/W 전문가(안),미착수,,,,,모니터링 후 2주 이내
f.8,3.2,f,보건의료 AI 기반 데이터 관리 자문 계획(안) 및 체크리스트,2027-02-01,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,계약 체결 후 3개월 이내
f.9,3.2,f,보건의료 AI 기반 데이터 관리 자문 결과서,,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,자문 실시 후 2주 이내
f.10,3.2,f,데이터 관리 및 운용체계 역량 강화 워크숍 실시 계획(안),2026-12-31,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,1차년도 4분기
f.11,3.2,f,데이터 관리 및 운용체계 역량 강화 워크숍 결과보고서(참석자 명단 포함),2026-12-31,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,1차년도 4분기
f.12,3.2,f,데이터 분석 및 운용방안 역량 강화 워크숍 실시 계획(안),2028-12-31,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,3차년도 4분기
f.13,3.2,f,데이터 분석 및 운용방안 역량 강화 워크숍 결과보고서(참석자 명단 포함),2028-12-31,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,3차년도 4분기
f.14,3.2,f,AI 데이터 활용 역량 강화 워크숍 실시 계획(안),2030-06-30,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,5차년도 2분기
f.15,3.2,f,AI 데이터 활용 역량 강화 워크숍 결과보고서(참석자 명단 포함),2030-06-30,국/영문,AI 데이터 관리 전문가(안),미착수,,,,,5차년도 2분기
f.16,3.2,f,구축된 부카스센터 데이터 통계 관리시스템 결과보고서,,국/영문,통계시스템 S/W 전문가(안),미착수,,,,,구축 후 1개월 이내
f.17,3.2,f,데이터통계관리시스템 이해관계자 협의 회의록,,국/영문,통계시스템 S/W 전문가(안),미착수,,,,,협의 실시 후 2주 이내
f.18,3.2,f,부카스센터 데이터 통계 관리 시스템(대시보드) 활용 모니터링 보고서,,국/영문,통계시스템 S/W 전문가(안),미착수,,,,,매분기
f.19,3.2,f,부카스센터 평가체계 수립 계획(안),2027-06-30,국/영문,성과관리 전문가(안),미착수,,,,,2차년도 2분기
f.20,3.2,f,부카스센터 평가체계 초안,2027-12-31,국/영문,성과관리 전문가(안),미착수,,,,,2차년도 4분기
f.21,3.2,f,부카스센터 평가체계 수립 검토 워크숍 실시 계획(안),2027-12-31,국/영문,성과관리 전문가(안),미착수,,,,,2차년도 4분기
f.22,3.2,f,부카스센터 평가체계 수립 검토 워크숍 결과보고서(검토의견 및 참석자 명단 포함),,국/영문,성과관리 전문가(안),미착수,,,,,워크숍 실시 후 2주 이내
f.23,3.2,f,부카스센터 평가체계 수립 결과보고서,,국/영문,성과관리 전문가(안),미착수,,,,,수립 후 1개월 이내
f.24,3.2,f,부카스센터 평가체계 수원국 승인 서류,2028-12-31,영문,성과관리 전문가(안),미착수,,,,,3차년도 4분기
f.25,3.2,f,부카스센터 평가체계 확산 워크숍 실시 계획(안),2029-06-30,국/영문,성과관리 전문가(안),미착수,,,,,4차년도 1/2분기
f.26,3.2,f,부카스센터 평가체계 확산 워크숍 결과보고서(참석자 명단 포함),,국/영문,성과관리 전문가(안),미착수,,,,,워크숍 실시 후 2주 이내
f.27,3.2,f,실무자대상 초청연수 참석자 명단,2029-09-30,국/영문,성과관리 전문가(안),미착수,,,,,4차년도 3분기
f.28,3.2,f,실무자대상 초청연수 실시 계획(안),2029-09-30,국/영문,성과관리 전문가(안),미착수,,,,,4차년도 3분기
f.29,3.2,f,실무자대상 초청연수 교육 자료,,영문,성과관리 전문가(안),미착수,,,,,실시 후 2주 이내
f.30,3.2,f,실무자대상 초청연수 결과보고서 (만족도 조사 및 평가 포함),,국/영문,성과관리 전문가(안),미착수,,,,,실시 후 2주 이내
f.31,3.2,f,발전계획 수립 계획(안),2028-06-30,국/영문,병원운영 전문가(안),미착수,,,,,3차년도 2분기
f.32,3.2,f,발전계획 초안,2028-12-31,영문,병원운영 전문가(안),미착수,,,,,3차년도 4분기
f.33,3.2,f,발전계획 이해관계자 협의 회의록,,국/영문,병원운영 전문가(안),미착수,,,,,협의 실시 후 2주 이내
f.34,3.2,f,발전계획 검토 워크숍 실시 계획(안),2028-12-31,국/영문,병원운영 전문가(안),미착수,,,,,3차년도 4분기
f.35,3.2,f,발전계획 검토 워크숍 결과보고서(검토의견 및 참석자 명단 포함),,국/영문,병원운영 전문가(안),미착수,,,,,워크숍 실시 후 2주 이내
f.36,3.2,f,발전계획 승인 서류,2029-12-31,영문,병원운영 전문가(안),미착수,,,,,4차년도 4분기
f.37,3.2,f,발전계획 확산 워크숍 실시 계획(안),2030-06-30,국/영문,병원운영 전문가(안),미착수,,,,,5차년도 1/2분기
f.38,3.2,f,발전계획 확산 워크숍 결과보고서(참석자 명단 포함),,국/영문,병원운영 전문가(안),미착수,,,,,워크숍 실시 후 2주 이내
f.39,3.2,f,표준 운영 매뉴얼 수립 계획(안),2027-06-30,국/영문,병원운영 전문가(안),미착수,,,,,2차년도 2분기
f.40,3.2,f,표준 운영 매뉴얼 초안,2027-12-31,영문,병원운영 전문가(안),미착수,,,,,2차년도 4분기
f.41,3.2,f,표준 운영 매뉴얼 검토 워크숍 실시 계획(안),2027-12-31,국/영문,병원운영 전문가(안),미착수,,,,,2차년도 4분기
f.42,3.2,f,표준 운영 매뉴얼 검토 워크숍 결과보고서(검토의견 및 참석자 명단 포함),,국/영문,병원운영 전문가(안),미착수,,,,,워크숍 실시 후 2주 이내
f.43,3.2,f,표준 운영 매뉴얼 수립 결과 보고서,,국/영문,병원운영 전문가(안),미착수,,,,,수립 후 1개월 이내
f.44,3.2,f,표준 운영 매뉴얼 승인 서류,2028-12-31,영문,병원운영 전문가(안),미착수,,,,,3차년도 4분기
f.45,3.2,f,표준 운영 매뉴얼 확산 워크숍 실시 계획(안),2029-06-30,국/영문,병원운영 전문가(안),미착수,,,,,4차년도 1/2분기
f.46,3.2,f,표준 운영 매뉴얼 확산 워크숍 결과보고서(참석자 명단 포함),,국/영문,병원운영 전문가(안),미착수,,,,,워크숍 실시 후 2주 이내
f.47,3.2,f,관리자대상 초청연수 참석자 명단,2028-09-30,국/영문,병원운영 전문가(안),미착수,,,,,3차년도 3분기
f.48,3.2,f,관리자대상 초청연수 실시 계획(안),2028-09-30,국/영문,병원운영 전문가(안),미착수,,,,,3차년도 3분기
f.49,3.2,f,관리자대상 초청연수 교육 자료,,영문,병원운영 전문가(안),미착수,,,,,실시 후 2주 이내
f.50,3.2,f,관리자대상 초청연수 결과보고서 (만족도 조사 및 평가 포함),,국/영문,병원운영 전문가(안),미착수,,,,,실시 후 2주 이내
